2016-10-17 15:09:070   Output LSCData----->301=0x48
2016-10-17 15:09:070   Output LSCData----->302=0x21
2016-10-17 15:09:070   Output LSCData----->303=0x4A
2016-10-17 15:09:070   Output LSCData----->304=0xC4
2016-10-17 15:09:071   Output LSCData----->305=0x48
2016-10-17 15:09:071   Output LSCData----->306=0x30
2016-10-17 15:09:071   Output LSCData----->307=0x49
2016-10-17 15:09:071   Output LSCData----->308=0xCA
2016-10-17 15:09:071   Output LSCData----->309=0x4A
2016-10-17 15:09:072   Output LSCData----->310=0x55
2016-10-17 15:09:072   Output LSCData----->311=0x4C
2016-10-17 15:09:072   Output LSCData----->312=0xB7
2016-10-17 15:09:072   Output LSCData----->313=0x48
2016-10-17 15:09:073   Output LSCData----->314=0xA7
2016-10-17 15:09:073   Output LSCData----->315=0x4A
2016-10-17 15:09:073   Output LSCData----->316=0x88
2016-10-17 15:09:073   Output LSCData----->317=0x47
2016-10-17 15:09:074   Output LSCData----->318=0x77
2016-10-17 15:09:074   Output LSCData----->319=0x48
2016-10-17 15:09:074   Output LSCData----->320=0x0B
2016-10-17 15:09:074   Output LSCData----->321=0x46
2016-10-17 15:09:075   Output LSCData----->322=0x34
2016-10-17 15:09:075   Output LSCData----->323=0x47
2016-10-17 15:09:075   Output LSCData----->324=0x6C
2016-10-17 15:09:075   Output LSCData----->325=0x3F
2016-10-17 15:09:076   Output LSCData----->326=0x15
2016-10-17 15:09:076   Output LSCData----->327=0x40
2016-10-17 15:09:076   Output LSCData----->328=0x6E
2016-10-17 15:09:076   Output LSCData----->329=0x3E
2016-10-17 15:09:077   Output LSCData----->330=0x5E
2016-10-17 15:09:077   Output LSCData----->331=0x3F
2016-10-17 15:09:077   Output LSCData----->332=0x3E
2016-10-17 15:09:077   Output LSCData----->333=0x39
2016-10-17 15:09:078   Output LSCData----->334=0x5C
2016-10-17 15:09:078   Output LSCData----->335=0x39
2016-10-17 15:09:078   Output LSCData----->336=0x85
2016-10-17 15:09:078   Output LSCData----->337=0x38
2016-10-17 15:09:079   Output LSCData----->338=0x6D
2016-10-17 15:09:079   Output LSCData----->339=0x39
2016-10-17 15:09:079   Output LSCData----->340=0xD9
2016-10-17 15:09:079   Output LSCData----->341=0x33
2016-10-17 15:09:080   Output LSCData----->342=0xCB
2016-10-17 15:09:080   Output LSCData----->343=0x33
2016-10-17 15:09:080   Output LSCData----->344=0x02
2016-10-17 15:09:080   Output LSCData----->345=0x33
2016-10-17 15:09:081   Output LSCData----->346=0xDC
2016-10-17 15:09:081   Output LSCData----->347=0x33
2016-10-17 15:09:081   Output LSCData----->348=0xD7
2016-10-17 15:09:081   Output LSCData----->349=0x2F
2016-10-17 15:09:082   Output LSCData----->350=0xC1
2016-10-17 15:09:082   Output LSCData----->351=0x2F
2016-10-17 15:09:082   Output LSCData----->352=0x27
2016-10-17 15:09:082   Output LSCData----->353=0x2F
2016-10-17 15:09:082   Output LSCData----->354=0xDA
2016-10-17 15:09:083   Output LSCData----->355=0x2F
2016-10-17 15:09:083   Output LSCData----->356=0x35
2016-10-17 15:09:083   Output LSCData----->357=0x2D
2016-10-17 15:09:083   Output LSCData----->358=0x35
2016-10-17 15:09:084   Output LSCData----->359=0x2D
2016-10-17 15:09:084   Output LSCData----->360=0x91
2016-10-17 15:09:084   Output LSCData----->361=0x2C
2016-10-17 15:09:084   Output LSCData----->362=0x4C
2016-10-17 15:09:085   Output LSCData----->363=0x2D
2016-10-17 15:09:085   Output LSCData----->364=0x53
2016-10-17 15:09:085   Output LSCData----->365=0x2C
2016-10-17 15:09:085   Output LSCData----->366=0x2C
2016-10-17 15:09:085   Output LSCData----->367=0x2C
2016-10-17 15:09:086   Output LSCData----->368=0x84
2016-10-17 15:09:086   Output LSCData----->369=0x2B
2016-10-17 15:09:086   Output LSCData----->370=0x70
2016-10-17 15:09:086   Output LSCData----->371=0x2C
2016-10-17 15:09:087   Output LSCData----->372=0x1E
2016-10-17 15:09:087   Output LSCData----->373=0x2D
