 Total time	  0.067000	R_GAIN	  496	 B_GAIN	  496	
 Total time	  0.057000	R_GAIN	  496	 B_GAIN	  496	
 Total time	  0.060000	R_GAIN	  496	 B_GAIN	  496	
 Total time	  0.059000	R_GAIN	  496	 B_GAIN	  496	
 Total time	  0.058000	R_GAIN	  496	 B_GAIN	  496	
 Total time	  0.058000	R_GAIN	  582	 B_GAIN	  578	
 Total time	  0.060000	R_GAIN	  578	 B_GAIN	  578	
 Total time	  0.065000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.058000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.059000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.066000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.057000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.056000	R_GAIN	  584	 B_GAIN	  584	
 Total time	  0.056000	R_GAIN	  582	 B_GAIN	  582	
 Total time	  0.078000	R_GAIN	  582	 B_GAIN	  585	
 Total time	  0.062000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.062000	R_GAIN	  576	 B_GAIN	  576	
 Total time	  0.062000	R_GAIN	  576	 B_GAIN	  576	
 Total time	  0.062000	R_GAIN	  576	 B_GAIN	  576	
 Total time	  0.078000	R_GAIN	  581	 B_GAIN	  585	
 Total time	  0.062000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.062000	R_GAIN	  578	 B_GAIN	  578	
 Total time	  0.062000	R_GAIN	  578	 B_GAIN	  582	
 Total time	  0.062000	R_GAIN	  580	 B_GAIN	  580	
 Total time	  0.062000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.062000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.062000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.078000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.062000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.078000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.046000	R_GAIN	  585	 B_GAIN	  585	
 Total time	  0.078000	R_GAIN	  580	 B_GAIN	  580	
 Total time	  0.078000	R_GAIN	  587	 B_GAIN	  587	
 Total time	  0.062000	R_GAIN	  584	 B_GAIN	  584	
 Total time	  0.062000	R_GAIN	  580	 B_GAIN	  580	
 Total time	  0.078000	R_GAIN	  580	 B_GAIN	  580	
 Total time	  0.062000	R_GAIN	  580	 B_GAIN	  580	
 Total time	  0.078000	R_GAIN	  580	 B_GAIN	  584	
 Total time	  0.062000	R_GAIN	  580	 B_GAIN	  584	
 Total time	  0.123000	R_GAIN	  584	 B_GAIN	  584	
 Total time	  0.151000	R_GAIN	  584	 B_GAIN	  584	
 Total time	  0.128000	R_GAIN	  584	 B_GAIN	  584	
 Total time	  0.110000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.121000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.139000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.112000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.115000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.131000	R_GAIN	  579	 B_GAIN	  579	
 Total time	  0.110000	R_GAIN	  579	 B_GAIN	  583	
 Total time	  0.128000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.139000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.136000	R_GAIN	  583	 B_GAIN	  583	
 Total time	  0.306000	R_GAIN	  573	 B_GAIN	  573	
 
