2014-11-15 13:02:678   Output LSCData----->0=0xFF
2014-11-15 13:02:700   Output LSCData----->82=0xA0
2014-11-15 13:02:700   Output LSCData----->83=0x4D
2014-11-15 13:02:700   Output LSCData----->84=0x7F
2014-11-15 13:02:701   Output LSCData----->85=0x55
2014-11-15 13:02:701   Output LSCData----->86=0x22
2014-11-15 13:02:701   Output LSCData----->87=0x49
2014-11-15 13:02:702   Output LSCData----->88=0x94
2014-11-15 13:02:702   Output LSCData----->89=0x48
2014-11-15 13:02:702   Output LSCData----->90=0xA3
2014-11-15 13:02:702   Output LSCData----->91=0x46
2014-11-15 13:02:703   Output LSCData----->92=0xC9
2014-11-15 13:02:703   Output LSCData----->93=0x4D
2014-11-15 13:02:703   Output LSCData----->94=0x32
2014-11-15 13:02:703   Output LSCData----->95=0x43
2014-11-15 13:02:704   Output LSCData----->96=0x5A
2014-11-15 13:02:704   Output LSCData----->97=0x42
2014-11-15 13:02:704   Output LSCData----->98=0x67
2014-11-15 13:02:704   Output LSCData----->99=0x40
2014-11-15 13:02:705   Output LSCData----->100=0xC4
2014-11-15 13:02:705   Output LSCData----->101=0x47
2014-11-15 13:02:705   Output LSCData----->102=0x0A
2014-11-15 13:02:705   Output LSCData----->103=0x3F
2014-11-15 13:02:706   Output LSCData----->104=0x53
2014-11-15 13:02:706   Output LSCData----->105=0x3D
2014-11-15 13:02:706   Output LSCData----->106=0x13
2014-11-15 13:02:706   Output LSCData----->107=0x3C
2014-11-15 13:02:707   Output LSCData----->108=0x27
2014-11-15 13:02:707   Output LSCData----->109=0x43
2014-11-15 13:02:707   Output LSCData----->110=0x04
2014-11-15 13:02:707   Output LSCData----->111=0x3C
2014-11-15 13:02:708   Output LSCData----->112=0x20
2014-11-15 13:02:708   Output LSCData----->113=0x3A
2014-11-15 13:02:708   Output LSCData----->114=0x2C
2014-11-15 13:02:708   Output LSCData----->115=0x39
2014-11-15 13:02:709   Output LSCData----->116=0xE9
2014-11-15 13:02:709   Output LSCData----->117=0x40
2014-11-15 13:02:709   Output LSCData----->118=0xBA
2014-11-15 13:02:709   Output LSCData----->119=0x3A
2014-11-15 13:02:710   Output LSCData----->120=0xBB
2014-11-15 13:02:710   Output LSCData----->121=0x38
2014-11-15 13:02:710   Output LSCData----->122=0x7F
2014-11-15 13:02:710   Output LSCData----->123=0x37
2014-11-15 13:02:711   Output LSCData----->124=0x22
2014-11-15 13:02:711   Output LSCData----->125=0x41
2014-11-15 13:02:711   Output LSCData----->126=0xE9
2014-11-15 13:02:711   Output LSCData----->127=0x3A
2014-11-15 13:02:712   Output LSCData----->128=0xD7
2014-11-15 13:02:712   Output LSCData----->129=0x38
2014-11-15 13:02:712   Output LSCData----->130=0xE2
2014-11-15 13:02:712   Output LSCData----->131=0x37
2014-11-15 13:02:713   Output LSCData----->132=0x0D
2014-11-15 13:02:713   Output LSCData----->133=0x43
2014-11-15 13:02:713   Output LSCData----->134=0x6D
2014-11-15 13:02:713   Output LSCData----->135=0x3C
2014-11-15 13:02:714   Output LSCData----->136=0xBC
2014-11-15 13:02:714   Output LSCData----->137=0x3A
2014-11-15 13:02:714   Output LSCData----->138=0xBA
2014-11-15 13:02:714   Output LSCData----->139=0x39
2014-11-15 13:02:715   Output LSCData----->140=0x8C
2014-11-15 13:02:715   Output LSCData----->141=0x47
2014-11-15 13:02:715   Output LSCData----->142=0xB3
2014-11-15 13:02:715   Output LSCData----->143=0x3F
2014-11-15 13:02:716   Output LSCData----->144=0xA3
2014-11-15 13:02:716   Output LSCData----->145=0x3D
2014-11-15 13:02:716   Output LSCData----->146=0xD3
2014-11-15 13:02:716   Output LSCData----->147=0x3C
2014-11-15 13:02:717   Output LSCData----->148=0xBE
2014-11-15 13:02:717   Output LSCData----->149=0x4D
2014-11-15 13:02:717   Output LSCData----->150=0x3C
2014-11-15 13:02:717   Output LSCData----->151=0x44
2014-11-15 13:02:718   Output LSCData----->152=0xD3
2014-11-15 13:02:718   Output LSCData----->153=0x42
2014-11-15 13:02:718   Output LSCData----->154=0xEB
2014-11-15 13:02:718   Output LSCData----->155=0x41
2014-11-15 13:02:719   Output LSCData----->156=0x93
2014-11-15 13:02:719   Output LSCData----->157=0x56
2014-11-15 13:02:719   Output LSCData----->158=0x66
2014-11-15 13:02:719   Output LSCData----->159=0x4B
2014-11-15 13:02:720   Output LSCData----->160=0x2D
2014-11-15 13:02:720   Output LSCData----->161=0x4A
2014-11-15 13:02:720   Output LSCData----->162=0x93
2014-11-15 13:02:720   Output LSCData----->163=0x48
2014-11-15 13:02:721   Output LSCData----->164=0xFA
2014-11-15 13:02:721   Output LSCData----->165=0x60
2014-11-15 13:02:721   Output LSCData----->166=0xEB
2014-11-15 13:02:721   Output LSCData----->167=0x53
2014-11-15 13:02:722   Output LSCData----->168=0x88
2014-11-15 13:02:722   Output LSCData----->169=0x53
2014-11-15 13:02:722   Output LSCData----->170=0x39
2014-11-15 13:02:722   Output LSCData----->171=0x51
2014-11-15 13:02:722   Output LSCData----->172=0xD8
2014-11-15 13:02:722   Output LSCData----->173=0x66
2014-11-15 13:02:722   Output LSCData----->174=0xFB
2014-11-15 13:02:722   Output LSCData----->175=0x57
2014-11-15 13:02:722   Output LSCData----->176=0x92
2014-11-15 13:02:723   Output LSCData----->177=0x57
2014-11-15 13:02:723   Output LSCData----->178=0x63
2014-11-15 13:02:723   Output LSCData----->179=0x54
2014-11-15 13:02:723   Output LSCData----->180=0x6F
2014-11-15 13:02:723   Output LSCData----->181=0x5E
2014-11-15 13:02:723   Output LSCData----->182=0x12
2014-11-15 13:02:723   Output LSCData----->183=0x4F
2014-11-15 13:02:723   Output LSCData----->184=0x53
2014-11-15 13:02:723   Output LSCData----->185=0x50
2014-11-15 13:02:724   Output LSCData----->186=0xE0
2014-11-15 13:02:724   Output LSCData----->187=0x4C
2014-11-15 13:02:724   Output LSCData----->188=0x22
2014-11-15 13:02:724   Output LSCData----->189=0x53
2014-11-15 13:02:724   Output LSCData----->190=0xFB
2014-11-15 13:02:724   Output LSCData----->191=0x46
2014-11-15 13:02:724   Output LSCData----->192=0xC9
2014-11-15 13:02:724   Output LSCData----->193=0x47
2014-11-15 13:02:724   Output LSCData----->194=0x3F
2014-11-15 13:02:724   Output LSCData----->195=0x44
2014-11-15 13:02:725   Output LSCData----->196=0x3D
2014-11-15 13:02:725   Output LSCData----->197=0x49
2014-11-15 13:02:725   Output LSCData----->198=0x7D
2014-11-15 13:02:725   Output LSCData----->199=0x3F
2014-11-15 13:02:725   Output LSCData----->200=0x5B
2014-11-15 13:02:725   Output LSCData----->201=0x3F
2014-11-15 13:02:725   Output LSCData----->202=0x80
2014-11-15 13:02:725   Output LSCData----->203=0x3C
2014-11-15 13:02:725   Output LSCData----->204=0x56
2014-11-15 13:02:725   Output LSCData----->205=0x41
2014-11-15 13:02:726   Output LSCData----->206=0xC7
2014-11-15 13:02:726   Output LSCData----->207=0x39
2014-11-15 13:02:726   Output LSCData----->208=0x5E
2014-11-15 13:02:726   Output LSCData----->209=0x39
2014-11-15 13:02:726   Output LSCData----->210=0x87
2014-11-15 13:02:726   Output LSCData----->211=0x36
2014-11-15 13:02:726   Output LSCData----->212=0x36
2014-11-15 13:02:726   Output LSCData----->213=0x3B
2014-11-15 13:02:726   Output LSCData----->214=0x76
2014-11-15 13:02:727   Output LSCData----->215=0x35
2014-11-15 13:02:727   Output LSCData----->216=0xBC
2014-11-15 13:02:727   Output LSCData----->217=0x34
2014-11-15 13:02:727   Output LSCData----->218=0xD1
2014-11-15 13:02:727   Output LSCData----->219=0x32
2014-11-15 13:02:727   Output LSCData----->220=0xFA
2014-11-15 13:02:727   Output LSCData----->221=0x35
2014-11-15 13:02:727   Output LSCData----->222=0x08
2014-11-15 13:02:727   Output LSCData----->223=0x32
2014-11-15 13:02:727   Output LSCData----->224=0xF9
2014-11-15 13:02:728   Output LSCData----->225=0x30
2014-11-15 13:02:728   Output LSCData----->226=0x6B
2014-11-15 13:02:728   Output LSCData----->227=0x2F
2014-11-15 13:02:728   Output LSCData----->228=0x03
2014-11-15 13:02:728   Output LSCData----->229=0x33
2014-11-15 13:02:728   Output LSCData----->230=0x1B
2014-11-15 13:02:728   Output LSCData----->231=0x30
2014-11-15 13:02:728   Output LSCData----->232=0xE2
2014-11-15 13:02:728   Output LSCData----->233=0x2E
2014-11-15 13:02:729   Output LSCData----->234=0xB1
2014-11-15 13:02:729   Output LSCData----->235=0x2D
2014-11-15 13:02:729   Output LSCData----->236=0xC2
2014-11-15 13:02:729   Output LSCData----->237=0x32
2014-11-15 13:02:729   Output LSCData----->238=0x1C
2014-11-15 13:02:729   Output LSCData----->239=0x30
2014-11-15 13:02:729   Output LSCData----->240=0xC5
2014-11-15 13:02:729   Output LSCData----->241=0x2E
2014-11-15 13:02:729   Output LSCData----->242=0xE1
2014-11-15 13:02:729   Output LSCData----->243=0x2D
2014-11-15 13:02:730   Output LSCData----->244=0x7C
2014-11-15 13:02:730   Output LSCData----->245=0x35
2014-11-15 13:02:730   Output LSCData----->246=0x22
2014-11-15 13:02:730   Output LSCData----->247=0x32
2014-11-15 13:02:730   Output LSCData----->248=0xC1
2014-11-15 13:02:730   Output LSCData----->249=0x30
2014-11-15 13:02:730   Output LSCData----->250=0xD9
2014-11-15 13:02:730   Output LSCData----->251=0x2F
2014-11-15 13:02:730   Output LSCData----->252=0xB2
2014-11-15 13:02:731   Output LSCData----->253=0x3A
2014-11-15 13:02:731   Output LSCData----->254=0xCB
2014-11-15 13:02:731   Output LSCData----->255=0x35
2014-11-15 13:02:731   Output LSCData----->256=0xD9
2014-11-15 13:02:731   Output LSCData----->257=0x34
2014-11-15 13:02:731   Output LSCData----->258=0x4C
2014-11-15 13:02:731   Output LSCData----->259=0x33
2014-11-15 13:02:731   Output LSCData----->260=0xB4
2014-11-15 13:02:731   Output LSCData----->261=0x41
2014-11-15 13:02:731   Output LSCData----->262=0xB6
2014-11-15 13:02:732   Output LSCData----->263=0x3A
2014-11-15 13:02:732   Output LSCData----->264=0xFF
2014-11-15 13:02:732   Output LSCData----->265=0x39
2014-11-15 13:02:732   Output LSCData----->266=0x2B
2014-11-15 13:02:732   Output LSCData----->267=0x38
2014-11-15 13:02:732   Output LSCData----->268=0xF9
2014-11-15 13:02:732   Output LSCData----->269=0x49
2014-11-15 13:02:732   Output LSCData----->270=0x33
2014-11-15 13:02:732   Output LSCData----->271=0x41
2014-11-15 13:02:732   Output LSCData----->272=0xC1
2014-11-15 13:02:733   Output LSCData----->273=0x40
2014-11-15 13:02:733   Output LSCData----->274=0x49
2014-11-15 13:02:733   Output LSCData----->275=0x3E
2014-11-15 13:02:733   Output LSCData----->276=0xFB
2014-11-15 13:02:733   Output LSCData----->277=0x53
2014-11-15 13:02:733   Output LSCData----->278=0x5D
2014-11-15 13:02:733   Output LSCData----->279=0x49
2014-11-15 13:02:733   Output LSCData----->280=0x9E
2014-11-15 13:02:733   Output LSCData----->281=0x49
2014-11-15 13:02:734   Output LSCData----->282=0xCC
2014-11-15 13:02:734   Output LSCData----->283=0x46
2014-11-15 13:02:734   Output LSCData----->284=0xAD
2014-11-15 13:02:734   Output LSCData----->285=0x62
2014-11-15 13:02:734   Output LSCData----->286=0xBA
2014-11-15 13:02:734   Output LSCData----->287=0x54
2014-11-15 13:02:734   Output LSCData----->288=0x0A
2014-11-15 13:02:734   Output LSCData----->289=0x55
2014-11-15 13:02:734   Output LSCData----->290=0xE9
2014-11-15 13:02:734   Output LSCData----->291=0x51
2014-11-15 13:02:735   Output LSCData----->292=0x60
2014-11-15 13:02:735   Output LSCData----->293=0x55
2014-11-15 13:02:735   Output LSCData----->294=0x5D
2014-11-15 13:02:735   Output LSCData----->295=0x47
2014-11-15 13:02:735   Output LSCData----->296=0x3A
2014-11-15 13:02:735   Output LSCData----->297=0x49
2014-11-15 13:02:735   Output LSCData----->298=0xD3
2014-11-15 13:02:735   Output LSCData----->299=0x45
2014-11-15 13:02:735   Output LSCData----->300=0x6B
2014-11-15 13:02:736   Output LSCData----->301=0x49
2014-11-15 13:02:736   Output LSCData----->302=0x9B
2014-11-15 13:02:736   Output LSCData----->303=0x3E
2014-11-15 13:02:736   Output LSCData----->304=0x14
2014-11-15 13:02:736   Output LSCData----->305=0x40
2014-11-15 13:02:736   Output LSCData----->306=0xB6
2014-11-15 13:02:736   Output LSCData----->307=0x3C
2014-11-15 13:02:736   Output LSCData----->308=0x65
2014-11-15 13:02:736   Output LSCData----->309=0x40
2014-11-15 13:02:736   Output LSCData----->310=0xDA
2014-11-15 13:02:737   Output LSCData----->311=0x37
2014-11-15 13:02:737   Output LSCData----->312=0xEC
2014-11-15 13:02:737   Output LSCData----->313=0x38
2014-11-15 13:02:737   Output LSCData----->314=0x9C
2014-11-15 13:02:737   Output LSCData----->315=0x35
2014-11-15 13:02:737   Output LSCData----->316=0xC4
2014-11-15 13:02:737   Output LSCData----->317=0x37
2014-11-15 13:02:737   Output LSCData----->318=0x3A
2014-11-15 13:02:737   Output LSCData----->319=0x32
2014-11-15 13:02:738   Output LSCData----->320=0x72
2014-11-15 13:02:738   Output LSCData----->321=0x32
2014-11-15 13:02:738   Output LSCData----->322=0x19
2014-11-15 13:02:738   Output LSCData----->323=0x30
2014-11-15 13:02:738   Output LSCData----->324=0x6E
2014-11-15 13:02:738   Output LSCData----->325=0x30
2014-11-15 13:02:738   Output LSCData----->326=0x1D
2014-11-15 13:02:738   Output LSCData----->327=0x2D
2014-11-15 13:02:738   Output LSCData----->328=0x19
2014-11-15 13:02:738   Output LSCData----->329=0x2D
2014-11-15 13:02:739   Output LSCData----->330=0x65
2014-11-15 13:02:739   Output LSCData----->331=0x2B
2014-11-15 13:02:739   Output LSCData----->332=0x16
2014-11-15 13:02:739   Output LSCData----->333=0x2B
2014-11-15 13:02:739   Output LSCData----->334=0x4E
2014-11-15 13:02:739   Output LSCData----->335=0x29
2014-11-15 13:02:739   Output LSCData----->336=0xD2
2014-11-15 13:02:739   Output LSCData----->337=0x28
2014-11-15 13:02:739   Output LSCData----->338=0x0D
2014-11-15 13:02:740   Output LSCData----->339=0x28
2014-11-15 13:02:740   Output LSCData----->340=0x76
2014-11-15 13:02:740   Output LSCData----->341=0x27
2014-11-15 13:02:740   Output LSCData----->342=0xA9
2014-11-15 13:02:740   Output LSCData----->343=0x26
2014-11-15 13:02:740   Output LSCData----->344=0x2A
2014-11-15 13:02:740   Output LSCData----->345=0x26
2014-11-15 13:02:740   Output LSCData----->346=0xA1
2014-11-15 13:02:740   Output LSCData----->347=0x25
2014-11-15 13:02:740   Output LSCData----->348=0x61
2014-11-15 13:02:741   Output LSCData----->349=0x27
2014-11-15 13:02:741   Output LSCData----->350=0xC2
2014-11-15 13:02:741   Output LSCData----->351=0x26
2014-11-15 13:02:741   Output LSCData----->352=0x25
2014-11-15 13:02:741   Output LSCData----->353=0x26
2014-11-15 13:02:741   Output LSCData----->354=0xC7
2014-11-15 13:02:741   Output LSCData----->355=0x25
2014-11-15 13:02:741   Output LSCData----->356=0x54
2014-11-15 13:02:741   Output LSCData----->357=0x2A
2014-11-15 13:02:741   Output LSCData----->358=0xE3
2014-11-15 13:02:742   Output LSCData----->359=0x28
2014-11-15 13:02:742   Output LSCData----->360=0x6B
2014-11-15 13:02:742   Output LSCData----->361=0x28
2014-11-15 13:02:742   Output LSCData----->362=0xE1
2014-11-15 13:02:742   Output LSCData----->363=0x27
2014-11-15 13:02:742   Output LSCData----->364=0xA6
2014-11-15 13:02:742   Output LSCData----->365=0x2F
2014-11-15 13:02:742   Output LSCData----->366=0x1B
2014-11-15 13:02:742   Output LSCData----->367=0x2D
2014-11-15 13:02:743   Output LSCData----->368=0xB4
2014-11-15 13:02:743   Output LSCData----->369=0x2C
2014-11-15 13:02:743   Output LSCData----->370=0x85
2014-11-15 13:02:743   Output LSCData----->371=0x2B
2014-11-15 13:02:743   Output LSCData----->372=0x21
2014-11-15 13:02:743   Output LSCData----->373=0x37
2014-11-15 13:02:743   Output LSCData----->374=0xC3
2014-11-15 13:02:743   Output LSCData----->375=0x32
2014-11-15 13:02:743   Output LSCData----->376=0xBA
2014-11-15 13:02:743   Output LSCData----->377=0x32
2014-11-15 13:02:744   Output LSCData----->378=0x93
2014-11-15 13:02:744   Output LSCData----->379=0x30
2014-11-15 13:02:744   Output LSCData----->380=0xB5
2014-11-15 13:02:744   Output LSCData----->381=0x40
2014-11-15 13:02:744   Output LSCData----->382=0x58
2014-11-15 13:02:744   Output LSCData----->383=0x39
2014-11-15 13:02:744   Output LSCData----->384=0xCC
2014-11-15 13:02:744   Output LSCData----->385=0x39
2014-11-15 13:02:744   Output LSCData----->386=0xFF
2014-11-15 13:02:745   Output LSCData----->387=0x36
2014-11-15 13:02:745   Output LSCData----->388=0xB6
2014-11-15 13:02:745   Output LSCData----->389=0x4A
2014-11-15 13:02:745   Output LSCData----->390=0xFF
2014-11-15 13:02:745   Output LSCData----->391=0x40
2014-11-15 13:02:745   Output LSCData----->392=0x0B
2014-11-15 13:02:745   Output LSCData----->393=0x42
2014-11-15 13:02:745   Output LSCData----->394=0xC9
2014-11-15 13:02:745   Output LSCData----->395=0x3E
2014-11-15 13:02:746   Output LSCData----->396=0x2E
2014-11-15 13:02:746   Output LSCData----->397=0x59
2014-11-15 13:02:746   Output LSCData----->398=0xCE
2014-11-15 13:02:746   Output LSCData----->399=0x4C
2014-11-15 13:02:746   Output LSCData----->400=0xEE
2014-11-15 13:02:746   Output LSCData----->401=0x4D
2014-11-15 13:02:746   Output LSCData----->402=0x40
2014-11-15 13:02:746   Output LSCData----->403=0x4A
2014-11-15 13:02:746   Output LSCData----->404=0xAB
2014-11-15 13:02:746   Output LSCData----->405=0x4E
2014-11-15 13:02:747   Output LSCData----->406=0x9E
2014-11-15 13:02:747   Output LSCData----->407=0x42
2014-11-15 13:02:747   Output LSCData----->408=0xB6
2014-11-15 13:02:747   Output LSCData----->409=0x44
2014-11-15 13:02:747   Output LSCData----->410=0xC5
2014-11-15 13:02:747   Output LSCData----->411=0x41
2014-11-15 13:02:747   Output LSCData----->412=0x6D
2014-11-15 13:02:747   Output LSCData----->413=0x43
2014-11-15 13:02:747   Output LSCData----->414=0x84
2014-11-15 13:02:747   Output LSCData----->415=0x3A
2014-11-15 13:02:748   Output LSCData----->416=0x1A
2014-11-15 13:02:748   Output LSCData----->417=0x3C
2014-11-15 13:02:748   Output LSCData----->418=0xA0
2014-11-15 13:02:748   Output LSCData----->419=0x38
2014-11-15 13:02:748   Output LSCData----->420=0x13
2014-11-15 13:02:748   Output LSCData----->421=0x3B
2014-11-15 13:02:748   Output LSCData----->422=0x54
2014-11-15 13:02:748   Output LSCData----->423=0x34
2014-11-15 13:02:748   Output LSCData----->424=0x80
2014-11-15 13:02:749   Output LSCData----->425=0x35
2014-11-15 13:02:749   Output LSCData----->426=0x5D
2014-11-15 13:02:749   Output LSCData----->427=0x32
2014-11-15 13:02:749   Output LSCData----->428=0x3A
2014-11-15 13:02:749   Output LSCData----->429=0x32
2014-11-15 13:02:749   Output LSCData----->430=0x2A
2014-11-15 13:02:749   Output LSCData----->431=0x2E
2014-11-15 13:02:749   Output LSCData----->432=0xF0
2014-11-15 13:02:749   Output LSCData----->433=0x2E
2014-11-15 13:02:749   Output LSCData----->434=0xA4
2014-11-15 13:02:750   Output LSCData----->435=0x2C
2014-11-15 13:02:750   Output LSCData----->436=0xA9
2014-11-15 13:02:750   Output LSCData----->437=0x2A
2014-11-15 13:02:750   Output LSCData----->438=0x93
2014-11-15 13:02:750   Output LSCData----->439=0x28
2014-11-15 13:02:750   Output LSCData----->440=0xFB
2014-11-15 13:02:750   Output LSCData----->441=0x28
2014-11-15 13:02:750   Output LSCData----->442=0xCA
2014-11-15 13:02:750   Output LSCData----->443=0x27
2014-11-15 13:02:751   Output LSCData----->444=0xE6
2014-11-15 13:02:751   Output LSCData----->445=0x24
2014-11-15 13:02:751   Output LSCData----->446=0xF6
2014-11-15 13:02:751   Output LSCData----->447=0x23
2014-11-15 13:02:751   Output LSCData----->448=0x19
2014-11-15 13:02:751   Output LSCData----->449=0x24
2014-11-15 13:02:751   Output LSCData----->450=0x8F
2014-11-15 13:02:751   Output LSCData----->451=0x23
2014-11-15 13:02:751   Output LSCData----->452=0xBC
2014-11-15 13:02:751   Output LSCData----->453=0x21
2014-11-15 13:02:752   Output LSCData----->454=0x8A
2014-11-15 13:02:752   Output LSCData----->455=0x21
2014-11-15 13:02:752   Output LSCData----->456=0x70
2014-11-15 13:02:752   Output LSCData----->457=0x21
2014-11-15 13:02:752   Output LSCData----->458=0x58
2014-11-15 13:02:752   Output LSCData----->459=0x21
2014-11-15 13:02:752   Output LSCData----->460=0x1A
2014-11-15 13:02:752   Output LSCData----->461=0x21
2014-11-15 13:02:753   Output LSCData----->462=0x24
2014-11-15 13:02:753   Output LSCData----->463=0x21
2014-11-15 13:02:753   Output LSCData----->464=0xF5
2014-11-15 13:02:753   Output LSCData----->465=0x20
2014-11-15 13:02:753   Output LSCData----->466=0xEA
2014-11-15 13:02:753   Output LSCData----->467=0x20
2014-11-15 13:02:753   Output LSCData----->468=0xB0
2014-11-15 13:02:753   Output LSCData----->469=0x23
2014-11-15 13:02:753   Output LSCData----->470=0x35
2014-11-15 13:02:754   Output LSCData----->471=0x23
2014-11-15 13:02:754   Output LSCData----->472=0x1A
2014-11-15 13:02:754   Output LSCData----->473=0x23
2014-11-15 13:02:754   Output LSCData----->474=0x9E
2014-11-15 13:02:754   Output LSCData----->475=0x22
2014-11-15 13:02:754   Output LSCData----->476=0x13
2014-11-15 13:02:754   Output LSCData----->477=0x29
2014-11-15 13:02:754   Output LSCData----->478=0xA0
2014-11-15 13:02:754   Output LSCData----->479=0x27
2014-11-15 13:02:754   Output LSCData----->480=0xBC
2014-11-15 13:02:755   Output LSCData----->481=0x27
2014-11-15 13:02:755   Output LSCData----->482=0xC0
2014-11-15 13:02:755   Output LSCData----->483=0x26
2014-11-15 13:02:755   Output LSCData----->484=0xF3
2014-11-15 13:02:755   Output LSCData----->485=0x30
2014-11-15 13:02:755   Output LSCData----->486=0xDE
2014-11-15 13:02:755   Output LSCData----->487=0x2D
2014-11-15 13:02:755   Output LSCData----->488=0x3C
2014-11-15 13:02:755   Output LSCData----->489=0x2E
2014-11-15 13:02:755   Output LSCData----->490=0x33
2014-11-15 13:02:756   Output LSCData----->491=0x2C
2014-11-15 13:02:756   Output LSCData----->492=0x92
2014-11-15 13:02:756   Output LSCData----->493=0x3A
2014-11-15 13:02:756   Output LSCData----->494=0xAA
2014-11-15 13:02:756   Output LSCData----->495=0x34
2014-11-15 13:02:756   Output LSCData----->496=0xA3
2014-11-15 13:02:756   Output LSCData----->497=0x35
2014-11-15 13:02:756   Output LSCData----->498=0xB1
2014-11-15 13:02:756   Output LSCData----->499=0x32
2014-11-15 13:02:756   Output LSCData----->500=0x40
2014-11-15 13:02:757   Output LSCData----->501=0x45
2014-11-15 13:02:757   Output LSCData----->502=0xEB
2014-11-15 13:02:757   Output LSCData----->503=0x3C
2014-11-15 13:02:757   Output LSCData----->504=0x3F
2014-11-15 13:02:757   Output LSCData----->505=0x3E
2014-11-15 13:02:757   Output LSCData----->506=0x84
2014-11-15 13:02:757   Output LSCData----->507=0x3A
