2015-01-23 09:01:259   Output LSCData----->312=0xBE
2015-01-23 09:01:259   Output LSCData----->313=0x49
2015-01-23 09:01:259   Output LSCData----->314=0xA9
2015-01-23 09:01:260   Output LSCData----->315=0x42
2015-01-23 09:01:260   Output LSCData----->316=0xA7
2015-01-23 09:01:261   Output LSCData----->317=0x43
2015-01-23 09:01:261   Output LSCData----->318=0x10
2015-01-23 09:01:261   Output LSCData----->319=0x40
2015-01-23 09:01:262   Output LSCData----->320=0x72
2015-01-23 09:01:262   Output LSCData----->321=0x45
2015-01-23 09:01:263   Output LSCData----->322=0x12
2015-01-23 09:01:263   Output LSCData----->323=0x3F
2015-01-23 09:01:263   Output LSCData----->324=0xEB
2015-01-23 09:01:264   Output LSCData----->325=0x3F
2015-01-23 09:01:264   Output LSCData----->326=0xFD
2015-01-23 09:01:265   Output LSCData----->327=0x39
2015-01-23 09:01:265   Output LSCData----->328=0x34
2015-01-23 09:01:265   Output LSCData----->329=0x3E
2015-01-23 09:01:266   Output LSCData----->330=0x3F
2015-01-23 09:01:266   Output LSCData----->331=0x38
2015-01-23 09:01:267   Output LSCData----->332=0xB7
2015-01-23 09:01:267   Output LSCData----->333=0x39
2015-01-23 09:01:267   Output LSCData----->334=0x1E
2015-01-23 09:01:268   Output LSCData----->335=0x34
2015-01-23 09:01:268   Output LSCData----->336=0x20
2015-01-23 09:01:268   Output LSCData----->337=0x37
2015-01-23 09:01:269   Output LSCData----->338=0x76
2015-01-23 09:01:269   Output LSCData----->339=0x32
2015-01-23 09:01:270   Output LSCData----->340=0xDC
2015-01-23 09:01:270   Output LSCData----->341=0x33
2015-01-23 09:01:270   Output LSCData----->342=0x8E
2015-01-23 09:01:271   Output LSCData----->343=0x2F
2015-01-23 09:01:271   Output LSCData----->344=0x9B
2015-01-23 09:01:272   Output LSCData----->345=0x31
2015-01-23 09:01:272   Output LSCData----->346=0xFE
2015-01-23 09:01:272   Output LSCData----->347=0x2D
2015-01-23 09:01:273   Output LSCData----->348=0x27
2015-01-23 09:01:273   Output LSCData----->349=0x2F
2015-01-23 09:01:274   Output LSCData----->350=0x9D
2015-01-23 09:01:274   Output LSCData----->351=0x2B
2015-01-23 09:01:275   Output LSCData----->352=0x2A
2015-01-23 09:01:275   Output LSCData----->353=0x2D
2015-01-23 09:01:275   Output LSCData----->354=0x9D
2015-01-23 09:01:276   Output LSCData----->355=0x2A
2015-01-23 09:01:276   Output LSCData----->356=0x74
2015-01-23 09:01:277   Output LSCData----->357=0x2B
2015-01-23 09:01:277   Output LSCData----->358=0xB6
2015-01-23 09:01:277   Output LSCData----->359=0x29
2015-01-23 09:01:278   Output LSCData----->360=0x13
2015-01-23 09:01:278   Output LSCData----->361=0x2B
2015-01-23 09:01:278   Output LSCData----->362=0x4F
2015-01-23 09:01:279   Output LSCData----->363=0x28
2015-01-23 09:01:279   Output LSCData----->364=0x6A
2015-01-23 09:01:280   Output LSCData----->365=0x29
2015-01-23 09:01:280   Output LSCData----->366=0xF0
2015-01-23 09:01:280   Output LSCData----->367=0x28
2015-01-23 09:01:281   Output LSCData----->368=0x12
2015-01-23 09:01:281   Output LSCData----->369=0x2A
2015-01-23 09:01:282   Output LSCData----->370=0x84
2015-01-23 09:01:282   Output LSCData----->371=0x27
2015-01-23 09:01:282   Output LSCData----->372=0x95
2015-01-23 09:01:283   Output LSCData----->373=0x28
2015-01-23 09:01:284   Output LSCData----->374=0x71
2015-01-23 09:01:284   Output LSCData----->375=0x29
2015-01-23 09:01:284   Output LSCData----->376=0xB1
2015-01-23 09:01:285   Output LSCData----->377=0x2A
2015-01-23 09:01:285   Output LSCData----->378=0xB6
2015-01-23 09:01:286   Output LSCData----->379=0x27
2015-01-23 09:01:286   Output LSCData----->380=0x52
2015-01-23 09:01:286   Output LSCData----->381=0x29
2015-01-23 09:01:287   Output LSCData----->382=0x59
2015-01-23 09:01:287   Output LSCData----->383=0x2B
2015-01-23 09:01:288   Output LSCData----->384=0xD0
2015-01-23 09:01:288   Output LSCData----->385=0x2C
2015-01-23 09:01:288   Output LSCData----->386=0x8E
2015-01-23 09:01:289   Output LSCData----->387=0x29
2015-01-23 09:01:289   Output LSCData----->388=0x60
2015-01-23 09:01:290   Output LSCData----->389=0x2B
2015-01-23 09:01:290   Output LSCData----->390=0xCD
2015-01-23 09:01:290   Output LSCData----->391=0x2E
2015-01-23 09:01:291   Output LSCData----->392=0xD4
2015-01-23 09:01:291   Output LSCData----->393=0x30
2015-01-23 09:01:292   Output LSCData----->394=0xE5
2015-01-23 09:01:292   Output LSCData----->395=0x2C
2015-01-23 09:01:292   Output LSCData----->396=0xB3
2015-01-23 09:01:293   Output LSCData----->397=0x2E
2015-01-23 09:01:293   Output LSCData----->398=0x4E
2015-01-23 09:01:293   Output LSCData----->399=0x33
2015-01-23 09:01:294   Output LSCData----->400=0x80
2015-01-23 09:01:294   Output LSCData----->401=0x36
2015-01-23 09:01:295   Output LSCData----->402=0x63
2015-01-23 09:01:295   Output LSCData----->403=0x31
2015-01-23 09:01:295   Output LSCData----->404=0xAC
2015-01-23 09:01:296   Output LSCData----->405=0x33
2015-01-23 09:01:296   Output LSCData----->406=0x53
2015-01-23 09:01:297   Output LSCData----->407=0x39
2015-01-23 09:01:297   Output LSCData----->408=0x5C
2015-01-23 09:01:297   Output LSCData----->409=0x3D
2015-01-23 09:01:298   Output LSCData----->410=0xF7
2015-01-23 09:01:298   Output LSCData----->411=0x36
2015-01-23 09:01:299   Output LSCData----->412=0x08
2015-01-23 09:01:299   Output LSCData----->413=0x3A
2015-01-23 09:01:300   Output LSCData----->414=0x65
2015-01-23 09:01:300   Output LSCData----->415=0x3F
2015-01-23 09:01:300   Output LSCData----->416=0x0F
2015-01-23 09:01:301   Output LSCData----->417=0x45
2015-01-23 09:01:301   Output LSCData----->418=0xDF
2015-01-23 09:01:302   Output LSCData----->419=0x3C
2015-01-23 09:01:302   Output LSCData----->420=0x11
2015-01-23 09:01:302   Output LSCData----->421=0x40
2015-01-23 09:01:303   Output LSCData----->422=0x6B
2015-01-23 09:01:303   Output LSCData----->423=0x43
2015-01-23 09:01:303   Output LSCData----->424=0x92
2015-01-23 09:01:304   Output LSCData----->425=0x49
2015-01-23 09:01:304   Output LSCData----->426=0x59
2015-01-23 09:01:305   Output LSCData----->427=0x40
2015-01-23 09:01:305   Output LSCData----->428=0x1C
2015-01-23 09:01:305   Output LSCData----->429=0x44
2015-01-23 09:01:306   Output LSCData----->430=0xE4
2015-01-23 09:01:306   Output LSCData----->431=0x41
2015-01-23 09:01:307   Output LSCData----->432=0xFC
2015-01-23 09:01:307   Output LSCData----->433=0x47
2015-01-23 09:01:307   Output LSCData----->434=0xC4
2015-01-23 09:01:308   Output LSCData----->435=0x40
2015-01-23 09:01:308   Output LSCData----->436=0xB8
2015-01-23 09:01:309   Output LSCData----->437=0x41
2015-01-23 09:01:309   Output LSCData----->438=0x6A
2015-01-23 09:01:309   Output LSCData----->439=0x3D
2015-01-23 09:01:310   Output LSCData----->440=0x1B
2015-01-23 09:01:310   Output LSCData----->441=0x42
2015-01-23 09:01:311   Output LSCData----->442=0xDF
2015-01-23 09:01:311   Output LSCData----->443=0x3B
2015-01-23 09:01:311   Output LSCData----->444=0x11
2015-01-23 09:01:312   Output LSCData----->445=0x3D
2015-01-23 09:01:312   Output LSCData----->446=0x7B
2015-01-23 09:01:313   Output LSCData----->447=0x36
2015-01-23 09:01:313   Output LSCData----->448=0xFB
2015-01-23 09:01:313   Output LSCData----->449=0x39
2015-01-23 09:01:314   Output LSCData----->450=0xEA
2015-01-23 09:01:329   Output LSCData----->451=0x34
2015-01-23 09:01:329   Output LSCData----->452=0x39
2015-01-23 09:01:330   Output LSCData----->453=0x36
2015-01-23 09:01:330   Output LSCData----->454=0xB7
2015-01-23 09:01:330   Output LSCData----->455=0x30
2015-01-23 09:01:331   Output LSCData----->456=0x14
2015-01-23 09:01:331   Output LSCData----->457=0x33
2015-01-23 09:01:332   Output LSCData----->458=0x79
2015-01-23 09:01:332   Output LSCData----->459=0x2F
2015-01-23 09:01:332   Output LSCData----->460=0x79
2015-01-23 09:01:333   Output LSCData----->461=0x30
2015-01-23 09:01:333   Output LSCData----->462=0x11
2015-01-23 09:01:334   Output LSCData----->463=0x2C
2015-01-23 09:01:334   Output LSCData----->464=0xE2
2015-01-23 09:01:334   Output LSCData----->465=0x2D
2015-01-23 09:01:335   Output LSCData----->466=0x23
2015-01-23 09:01:335   Output LSCData----->467=0x2B
2015-01-23 09:01:336   Output LSCData----->468=0xE1
2015-01-23 09:01:336   Output LSCData----->469=0x2B
2015-01-23 09:01:337   Output LSCData----->470=0xBE
2015-01-23 09:01:337   Output LSCData----->471=0x28
2015-01-23 09:01:337   Output LSCData----->472=0xA2
2015-01-23 09:01:338   Output LSCData----->473=0x29
2015-01-23 09:01:338   Output LSCData----->474=0xDD
2015-01-23 09:01:339   Output LSCData----->475=0x27
2015-01-23 09:01:339   Output LSCData----->476=0x7A
2015-01-23 09:01:339   Output LSCData----->477=0x28
2015-01-23 09:01:340   Output LSCData----->478=0xB3
2015-01-23 09:01:340   Output LSCData----->479=0x26
2015-01-23 09:01:341   Output LSCData----->480=0x63
2015-01-23 09:01:341   Output LSCData----->481=0x27
2015-01-23 09:01:341   Output LSCData----->482=0x15
2015-01-23 09:01:342   Output LSCData----->483=0x26
2015-01-23 09:01:342   Output LSCData----->484=0x80
2015-01-23 09:01:343   Output LSCData----->485=0x26
2015-01-23 09:01:343   Output LSCData----->486=0xEA
2015-01-23 09:01:343   Output LSCData----->487=0x25
2015-01-23 09:01:344   Output LSCData----->488=0x70
2015-01-23 09:01:344   Output LSCData----->489=0x26
2015-01-23 09:01:345   Output LSCData----->490=0x26
2015-01-23 09:01:345   Output LSCData----->491=0x25
2015-01-23 09:01:345   Output LSCData----->492=0xCE
2015-01-23 09:01:346   Output LSCData----->493=0x25
2015-01-23 09:01:346   Output LSCData----->494=0x48
2015-01-23 09:01:347   Output LSCData----->495=0x26
2015-01-23 09:01:347   Output LSCData----->496=0xF4
2015-01-23 09:01:347   Output LSCData----->497=0x26
2015-01-23 09:01:348   Output LSCData----->498=0x78
2015-01-23 09:01:348   Output LSCData----->499=0x25
2015-01-23 09:01:348   Output LSCData----->500=0x45
2015-01-23 09:01:349   Output LSCData----->501=0x26
2015-01-23 09:01:349   Output LSCData----->502=0x3C
2015-01-23 09:01:350   Output LSCData----->503=0x28
2015-01-23 09:01:350   Output LSCData----->504=0x63
2015-01-23 09:01:350   Output LSCData----->505=0x29
2015-01-23 09:01:351   Output LSCData----->506=0x36
2015-01-23 09:01:351   Output LSCData----->507=0x27
2015-01-23 09:01:352   Output LSCData----->508=0x48
2015-01-23 09:01:352   Output LSCData----->509=0x28
